X,Y,OBJECTID,DIVISION,LOCATION,PREC
-118.289241552968605,33.757660896581228,1,HARBOR,2175 JOHN S. GIBSON BLVD.,5
-118.275394206380724,33.938627379638049,2,SOUTHEAST,145 W. 108TH ST.,18
-118.277669655285422,33.970307379862064,3,77TH STREET,7600 S. BROADWAY,12
-118.419841575706627,33.991655320747618,4,PACIFIC,12312 CULVER BLVD.,14
-118.305141562954915,34.010575340364149,5,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,3
-118.256118890755829,34.012355904594095,6,NEWTON,3400 S. CENTRAL AVE.,13
-118.247294122979113,34.044019499827556,7,CENTRAL,251 E. 6TH ST.,1
-118.450779541204085,34.043777411946706,8,WEST LOS ANGELES,1663 BUTLER AVE.,8
-118.213067956401261,34.045008769454739,9,HOLLENBECK,2111 E. 1ST ST.,4
-118.342829525040528,34.046747681963005,10,WILSHIRE,4861 VENICE BLVD.,7
-118.291175911045798,34.050208529000926,11,OLYMPIC,1130 S. VERMONT AVE.,20
-118.26697964872902,34.056690436784159,12,RAMPART,1401 W. 6TH ST.,2
-118.330669310077099,34.095833225199762,13,HOLLYWOOD,1358 N. WILCOX AVE.,6
-118.249414483888714,34.119200665621165,14,NORTHEAST,3353 SAN FERNANDO RD.,11
-118.385859348325468,34.171693930357392,15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,15
-118.445225708768959,34.183743272600886,16,VAN NUYS, 6240 SYLMAR AVE.,9
-118.547454437935173,34.193397227359071,17,WEST VALLEY,19020 VANOWEN ST.,10
-118.599636541863276,34.221376653670873,18,TOPANGA,21501 SCHOENBORN ST.,21
-118.410417182670813,34.253091221538476,19,FOOTHILL,12760 OSBORNE ST.,16
-118.531373362659863,34.256969059252874,20,DEVONSHIRE,10250 ETIWANDA AVE.,17
-118.468197807891499,34.272979397398622,21,MISSION,11121 N. SEPULVEDA BLVD.,19
